"","tag_code","antenna","date_time","interval","dummy","dummy_lead","dummy2"
"269","900_226000515907",1,2014-05-17 15:20:29,26.5499999523163,1,0,2
"270","900_226000515921",2,2014-05-17 11:56:18,0,0,1,2
"271","900_226000515921",2,2014-05-17 11:56:37,16.3399999141693,1,0,2
"272","900_226000515921",2,2014-05-17 12:38:31,2513.78999996185,0,1,2
"273","900_226000515921",2,2014-05-17 12:39:10,29.8300001621246,1,0,2
"274","900_226000515922",2,2014-05-15 10:05:32,0,0,1,2
"275","900_226000515922",2,2014-05-15 10:06:43,71,1,0,2
"276","900_226000515922",2,2014-05-23 10:10:48,691445.980000019,0,1,2
"277","900_226000515922",2,2014-05-23 10:11:29,40.6500000953674,1,0,2
"278","900_226000515927",2,2014-05-23 11:33:01,0,0,1,2
"279","900_226000515927",2,2014-05-23 11:33:08,1.10000014305115,1,0,2
"280","900_226000515929",2,2014-05-17 09:21:21,0,0,1,2
"281","900_226000515929",1,2014-05-17 09:22:29,68.1600000858307,1,0,2
"282","900_226000515944",2,2014-05-24 12:48:42,0,0,0,2
"283","900_226000515944",1,2014-05-24 12:59:11,628.410000085831,0,0,2
"284","900_226000515947",2,2014-05-24 18:15:36,0,0,1,2
"285","900_226000515947",2,2014-05-24 18:15:43,7.0699999332428,1,0,2
"286","900_226000515947",2,2014-05-24 18:18:13,150.009999990463,0,0,2
"287","900_226000515953",2,2014-05-27 23:21:48,0,0,1,2
"288","900_226000515953",2,2014-05-27 23:21:54,6.41000008583069,1,0,2
"289","900_226000515954",2,2014-05-23 10:34:03,0,0,1,2
"290","900_226000515954",2,2014-05-23 10:34:39,10.6099998950958,1,0,2
"291","900_226000515956",2,2014-05-22 18:27:34,0,0,0,2
"292","900_226000515956",2,2014-05-22 18:30:05,150.899999856949,0,0,2
"293","900_226000515958",2,2014-05-14 14:18:03,0,0,1,2
"294","900_226000515958",2,2014-05-14 14:19:11,16,1,0,2
"295","900_226000515959",2,2014-05-19 14:49:31,0,0,1,2
"296","900_226000515959",2,2014-05-19 14:50:01,29.6199998855591,1,0,2
"297","900_226000515959",2,2014-05-20 10:35:06,71105.0899999142,0,1,2
"298","900_226000515959",2,2014-05-20 10:38:50,22.9800000190735,1,0,2
"299","900_226000515981",2,2014-05-17 12:18:41,0,0,1,2
"300","900_226000515981",2,2014-05-17 12:19:30,2.32999992370605,1,0,2
"301","900_226000515981",2,2014-05-23 13:03:55,521064.650000095,0,1,2
"302","900_226000515981",2,2014-05-23 13:04:02,7.50999999046326,1,0,2
"303","900_226000515982",2,2014-05-17 13:53:59,0,0,1,2
"304","900_226000515982",2,2014-05-17 13:54:40,19.4799997806549,1,0,2
"305","900_226000515988",2,2014-05-17 12:25:20,0,0,1,2
"306","900_226000515988",2,2014-05-17 12:26:24,9.5,1,0,2
"307","900_226000515988",2,2014-05-23 11:28:24,514920.460000038,0,1,2
"308","900_226000515988",2,2014-05-23 11:30:11,101.870000123978,1,0,2
"309","900_226000515991",2,2014-05-28 15:41:57,0,0,1,2
"310","900_226000515991",2,2014-05-28 15:45:19,24.7399997711182,1,0,2
"311","900_226000515996",2,2014-05-25 09:28:04,0,0,1,2
"312","900_226000515996",2,2014-05-25 09:29:18,74.6600000858307,1,NA,2
