"","Date","avgFlow","Year","date_x"
"150",2014-05-30,42.7666666666667,"2014",2020-05-30
"151",2014-05-31,40.675,"2014",2020-05-31
"152",2014-06-01,38.5427083333333,"2014",2020-06-01
"153",2014-06-02,37.4520833333333,"2014",2020-06-02
"154",2014-06-03,36.1375,"2014",2020-06-03
"155",2014-06-04,35.9125,"2014",2020-06-04
"156",2014-06-05,40.021875,"2014",2020-06-05
"157",2014-06-06,43.7541666666667,"2014",2020-06-06
"158",2014-06-07,44.0989583333333,"2014",2020-06-07
"159",2014-06-08,39.0364583333333,"2014",2020-06-08
"160",2014-06-09,45.0041666666667,"2014",2020-06-09
"161",2014-06-10,48.79375,"2014",2020-06-10
"162",2014-06-11,50.90625,"2014",2020-06-11
"163",2014-06-12,61.0395833333333,"2014",2020-06-12
"164",2014-06-13,86.296875,"2014",2020-06-13
"165",2014-06-14,118.78125,"2014",2020-06-14
"166",2014-06-15,130.78125,"2014",2020-06-15
"167",2014-06-16,87.1177083333333,"2014",2020-06-16
"168",2014-06-17,53.6520833333333,"2014",2020-06-17
"169",2014-06-18,42.115625,"2014",2020-06-18
"170",2014-06-19,39.9364583333333,"2014",2020-06-19
"171",2014-06-20,37.978125,"2014",2020-06-20
"172",2014-06-21,35.996875,"2014",2020-06-21
"173",2014-06-22,35.46875,"2014",2020-06-22
"174",2014-06-23,34.853125,"2014",2020-06-23
"175",2014-06-24,34.33125,"2014",2020-06-24
"176",2014-06-25,34.021875,"2014",2020-06-25
"177",2014-06-26,32.3104166666667,"2014",2020-06-26
"178",2014-06-27,23.659375,"2014",2020-06-27
"179",2014-06-28,23.609375,"2014",2020-06-28
"180",2014-06-29,23.8822916666667,"2014",2020-06-29
"181",2014-06-30,24.10625,"2014",2020-06-30
"182",2014-07-01,24.2458333333333,"2014",2020-07-01
