=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
05/22/2013	21:01:07	00:00.0	A	900_226000135099	A3	1	1623								
05/22/2013	21:07:03	00:00.0	R	0000_0000000174764544	A3	1	1073								
05/22/2013	21:13:52	00:00.0	R	0000_0000000180573686	A2	1	5412								
05/22/2013	21:19:32	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	21:21:58	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	21:28:50	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	21:36:53	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	21:43:48	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/22/2013	21:50:18	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/22/2013	21:51:48	00:00.0	R	0000_0000000174764544	A3	1	2696								
05/22/2013	22:06:44	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/22/2013	22:13:44	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/22/2013	22:21:39	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	22:28:43	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/22/2013	22:36:34	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	22:58:39	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/22/2013	23:06:24	00:00.0	R	0000_0000000174764544	A3	1	5396								
05/22/2013	23:13:38	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/22/2013	23:21:20	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	23:22:38	00:00.0	R	0000_0000000174764573	A1	1	16695								
05/22/2013	23:36:15	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	23:51:10	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/22/2013	23:53:24	00:00.0	R	0000_0000000174764573	A1	1	5564								
05/22/2013	23:58:32	00:00.0	R	0000_0000000180573686	A2	1	8120								
05/23/2013	0:06:05	00:00.0	R	0000_0000000174764544	A3	1	2698								
05/23/2013	0:13:30	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	0:24:10	00:00.0	R	0000_0000000174764573	A1	1	5564								
05/23/2013	0:28:28	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	0:35:56	00:00.0	R	0000_0000000174764544	A3	1	5397								
05/23/2013	0:50:51	00:00.0	R	0000_0000000174764544	A3	1	2697								
05/23/2013	0:58:24	00:00.0	R	0000_0000000180573686	A2	1	5412								
