

upload #10 start: 05/03/2013 06:32:24.93
Site code: AA
--------- upload 10 start ---------
05/03/2013 06:32:24.93 upload 9 complete
05/03/2013 06:40:09.42 supply power ok 13.1V
05/03/2013 06:40:09.42 database file opened
05/03/2013 06:40:09.42 starting reader after power up
05/03/2013 12:03:38.56  00:00:00.00 A 900_226000135106 A3    1     1
05/03/2013 12:05:03.17  00:00:00.00 R 0000_0000000174764573 A1    1 17123
05/03/2013 12:13:25.35  00:00:00.00 R 0000_0000000180573686 A2    1   996
05/03/2013 12:15:59.56  00:00:00.00 A 900_226000135106 A3    1  2235
05/03/2013 12:16:08.18  00:00:00.00 A 900_226000135106 A3    1    25
05/03/2013 12:18:32.00  00:00:00.00 R 0000_0000000174764544 A3    1   433
05/03/2013 12:20:43.90  00:00:00.34 A 900_226000135104 A3    2   397
05/03/2013 12:22:20.02  00:00:00.33 A 900_226000135106 A3    2   288
05/03/2013 12:23:40.56  00:00:00.00 A 900_226000135106 A3    1   241
05/03/2013 12:23:44.20  00:00:00.00 A 900_226000135106 A3    1    10
05/03/2013 12:24:36.58  00:00:00.33 A 900_226000135106 A3    2   157
05/03/2013 12:24:38.56  00:00:00.33 A 900_226000135106 A3    2     4
05/03/2013 12:24:53.81  00:00:00.00 A 900_226000135106 A3    1    44
05/03/2013 12:24:57.13  00:00:00.00 A 900_226000135106 A3    1     9
05/03/2013 12:28:24.16  00:00:00.00 R 0000_0000000180573686 A2    1  1044
05/03/2013 12:35:50.79  00:00:00.00 R 0000_0000000174764573 A1    1  9016
05/03/2013 12:43:22.97  00:00:00.00 R 0000_0000000180573686 A2    1  1136
05/03/2013 12:45:42.94  00:00:00.00 A 900_226000135106 A3    1  3758
05/03/2013 12:48:18.38  00:00:00.00 A 900_226000135106 A3    1   468
05/03/2013 12:48:27.66  00:00:00.00 R 0000_0000000174764544 A3    1    27
05/03/2013 12:49:04.14  00:00:00.00 A 900_226000135106 A3    1   109
05/03/2013 12:49:11.75  00:00:00.34 A 900_226000135106 A3    2    22
05/03/2013 12:50:27.00  00:00:00.33 A 900_226000135106 A3    2   225
05/03/2013 12:54:38.22  00:00:00.33 A 900_226000135104 A3    2   756
05/03/2013 12:58:22.16  00:00:00.00 R 0000_0000000180573686 A2    1  1423
05/03/2013 13:03:25.52  00:00:00.00 R 0000_0000000174764544 A3    1  1589
05/03/2013 13:13:21.34  00:00:00.00 R 0000_0000000180573686 A2    1  1801
05/03/2013 13:18:23.72  00:00:00.00 R 0000_0000000174764544 A3    1  2709
05/03/2013 13:32:14.00  00:00:00.66 A 900_226000135106 A3    3  2504
05/03/2013 13:33:21.29  00:00:00.00 R 0000_0000000174764544 A3    1   200
05/03/2013 13:37:26.66  00:00:00.00 R 0000_0000000174764573 A1    1 15234
05/03/2013 13:39:10.31  00:00:00.00 A 900_226000135162 A3    1  1052
05/03/2013 13:39:18.92  00:00:00.34 A 900_226000135162 A3    2    25
05/03/2013 13:39:20.26  00:00:00.00 A 900_226000135162 A3    1     2
05/03/2013 13:41:25.22  00:00:00.33 A 900_226000135162 A3    2   376
05/03/2013 13:42:14.60  00:00:00.00 A 900_226000135162 A3    1   147
05/03/2013 13:42:16.59  00:00:00.00 A 900_226000135162 A3    1     5
05/03/2013 13:43:19.13  00:00:00.00 R 0000_0000000180573686 A2    1  4013
05/03/2013 13:47:01.97  00:00:00.34 A 900_226000135162 A3    2   860
05/03/2013 13:47:04.96  00:00:00.00 A 900_226000135162 A3    1     7
05/03/2013 13:47:06.95  00:00:00.00 A 900_226000135162 A3    1     5
05/03/2013 13:58:17.35  00:00:00.00 R 0000_0000000180573686 A2    1  2033
05/03/2013 14:03:17.40  00:00:00.00 R 0000_0000000174764544 A3    1  2927
05/03/2013 14:08:14.48  00:00:00.00 R 0000_0000000174764573 A1    1  6983
05/03/2013 14:13:15.85  00:00:00.00 R 0000_0000000180573686 A2    1  1966
05/03/2013 14:23:28.80  00:00:00.33 A 900_226000135106 A3    2  3654
05/03/2013 14:26:57.28  00:00:00.34 A 900_226000135106 A3    2   627
05/03/2013 14:28:14.73  00:00:00.00 R 0000_0000000180573686 A2    1  1484
05/03/2013 14:30:18.14  00:00:00.33 A 900_226000135106 A3    2   604
05/03/2013 14:30:19.47  00:00:00.00 A 900_226000135106 A3    1     2
05/03/2013 14:30:37.70  00:00:00.34 A 900_226000135106 A3    2    54
05/03/2013 14:33:13.47  00:00:00.00 R 0000_0000000174764544 A3    1   468
05/03/2013 14:38:02.16  00:00:00.32 A 900_226000135106 A3    2   870
05/03/2013 14:38:48.89  00:00:00.00 A 900_226000135106 A3    1   139
05/03/2013 14:38:51.54  00:00:00.33 A 900_226000135106 A3    2     7
05/03/2013 14:39:18.06  00:00:00.00 A 900_226000135106 A3    1    78
05/03/2013 14:39:19.71  00:00:00.34 A 900_226000135106 A3    2     4
05/03/2013 14:46:04.06  00:00:00.33 A 900_226000135106 A3    2  1218
05/03/2013 14:58:12.09  00:00:00.00 R 0000_0000000180573686 A2    1  3603
05/03/2013 15:03:10.14  00:00:00.00 R 0000_0000000174764544 A3    1  3094
05/03/2013 15:09:50.27  00:00:00.00 R 0000_0000000174764573 A1    1 15024
05/03/2013 15:11:44.17  00:00:00.00 A 900_226000135162 A3    1  1550
